strategy_id,strategy,source_proof_id,source_lean_name,source_strategy_number,source_file,formal_statement,comment
1,Apply the standard metric-space ε–δ characterization `Metric.continuousWithinAt_iff` to express relative continuity on \(S\) in terms of distances.,atlas.real_analysis.256351aca4f3,continuous_at_iff_eps_delta,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem continuous_at_iff_eps_delta (f : ℝ → ℝ) (S : Set ℝ) (c : ℝ) (_hc : c ∈ S) :
    ContinuousWithinAt f S c ↔ ∀ ε > 0, ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → |f x - f c| < ε","Continuity of `f` at a point `c ∈ S` (relative to `S`) is equivalent to the classical
`ε`-`δ` formulation: for every `ε > 0` there is `δ > 0` such that for all `x ∈ S`,
`|x - c| < δ` implies `|f x - f c| < ε`."
2,"Specialize the metric on \(\mathbb{R}\) using `Real.dist_eq`, which rewrites each distance as an absolute difference and yields exactly the desired formulation.",atlas.real_analysis.256351aca4f3,continuous_at_iff_eps_delta,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem continuous_at_iff_eps_delta (f : ℝ → ℝ) (S : Set ℝ) (c : ℝ) (_hc : c ∈ S) :
    ContinuousWithinAt f S c ↔ ∀ ε > 0, ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → |f x - f c| < ε","Continuity of `f` at a point `c ∈ S` (relative to `S`) is equivalent to the classical
`ε`-`δ` formulation: for every `ε > 0` there is `δ > 0` such that for all `x ∈ S`,
`|x - c| < δ` implies `|f x - f c| < ε`."
3,"Recognize that the closed interval \([a,b]\) is compact and apply the theorem that a continuous real-valued function on a compact set admits a uniform norm bound.",atlas.real_analysis.40a706b8d34b,continuous_on_Icc_bounded,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem continuous_on_Icc_bounded (f : ℝ → ℝ) (a b : ℝ) (_hab : a ≤ b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    ∃ B : ℝ, ∀ x ∈ Set.Icc a b, |f x| ≤ B","A real-valued function that is continuous on a closed bounded interval `[a, b]` is bounded:
there exists `B ∈ ℝ` such that `|f x| ≤ B` for all `x ∈ [a, b]`."
4,Convert the resulting inequality \(\|f(x)\|\le C\) into the required inequality \(|f(x)|\le C\) using the identity between the real norm and absolute value.,atlas.real_analysis.40a706b8d34b,continuous_on_Icc_bounded,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem continuous_on_Icc_bounded (f : ℝ → ℝ) (a b : ℝ) (_hab : a ≤ b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    ∃ B : ℝ, ∀ x ∈ Set.Icc a b, |f x| ≤ B","A real-valued function that is continuous on a closed bounded interval `[a, b]` is bounded:
there exists `B ∈ ℝ` such that `|f x| ≤ B` for all `x ∈ [a, b]`."
5,"The strict inequality \(a<b\) implies \(a\le b\), ensuring that the closed interval \([a,b]\) is nonempty.",atlas.real_analysis.2b19d4ad0017,extreme_value_theorem,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem extreme_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∃ c ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f c ≤ f x) ∧
    (∃ d ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f x ≤ f d)","Extreme Value (Min-Max) Theorem: a continuous function on a closed bounded interval `[a, b]`
attains both an absolute minimum at some point `c ∈ [a, b]` and an absolute maximum at some
point `d ∈ [a, b]`."
6,"The interval \([a,b]\) is compact, so continuity of \(f\) on this nonempty compact set guarantees that \(f\) attains both a minimum and a maximum there.",atlas.real_analysis.2b19d4ad0017,extreme_value_theorem,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem extreme_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∃ c ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f c ≤ f x) ∧
    (∃ d ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f x ≤ f d)","Extreme Value (Min-Max) Theorem: a continuous function on a closed bounded interval `[a, b]`
attains both an absolute minimum at some point `c ∈ [a, b]` and an absolute maximum at some
point `d ∈ [a, b]`."
7,"Applying the compact-set minimum and maximum existence results separately produces \(c,d\in[a,b]\) with \(f(c)\le f(x)\le f(d)\) for every \(x\in[a,b]\).",atlas.real_analysis.2b19d4ad0017,extreme_value_theorem,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Continuity.lean,"theorem extreme_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∃ c ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f c ≤ f x) ∧
    (∃ d ∈ Set.Icc a b, ∀ x ∈ Set.Icc a b, f x ≤ f d)","Extreme Value (Min-Max) Theorem: a continuous function on a closed bounded interval `[a, b]`
attains both an absolute minimum at some point `c ∈ [a, b]` and an absolute maximum at some
point `d ∈ [a, b]`."
8,"Strengthen \(a<b\) to \(a\le b\) so the closed-interval intermediate value theorem applies on \([a,b]\).",atlas.real_analysis.0981157bc4ef,intermediate_value_theorem,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem intermediate_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∀ y, f a < y → y < f b → ∃ c ∈ Set.Ioo a b, f c = y) ∧
    (∀ y, f b < y → y < f a → ∃ c ∈ Set.Ioo a b, f c = y)","Bolzano's Intermediate Value Theorem.

Let `f : ℝ → ℝ` be continuous on `[a, b]` with `a < b`. Then:
if `f a < y < f b`, there exists `c ∈ (a, b)` with `f c = y`;
if `f b < y < f a`, there exists `c ∈ (a, b)` with `f c = y`.

In either case, `f` attains every value strictly between `f a` and `f b` at some
interior point of the interval."
9,"Convert the strict inequalities placing \(y\) between \(f(a)\) and \(f(b)\) into membership in the appropriate closed interval of endpoint values, using \([f(a),f(b)]\) in the increasing case and \([f(b),f(a)]\) in the decreasing case.",atlas.real_analysis.0981157bc4ef,intermediate_value_theorem,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem intermediate_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∀ y, f a < y → y < f b → ∃ c ∈ Set.Ioo a b, f c = y) ∧
    (∀ y, f b < y → y < f a → ∃ c ∈ Set.Ioo a b, f c = y)","Bolzano's Intermediate Value Theorem.

Let `f : ℝ → ℝ` be continuous on `[a, b]` with `a < b`. Then:
if `f a < y < f b`, there exists `c ∈ (a, b)` with `f c = y`;
if `f b < y < f a`, there exists `c ∈ (a, b)` with `f c = y`.

In either case, `f` attains every value strictly between `f a` and `f b` at some
interior point of the interval."
10,"Apply the corresponding closed-interval intermediate value theorem to obtain \(c\in[a,b]\) satisfying \(f(c)=y\).",atlas.real_analysis.0981157bc4ef,intermediate_value_theorem,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem intermediate_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∀ y, f a < y → y < f b → ∃ c ∈ Set.Ioo a b, f c = y) ∧
    (∀ y, f b < y → y < f a → ∃ c ∈ Set.Ioo a b, f c = y)","Bolzano's Intermediate Value Theorem.

Let `f : ℝ → ℝ` be continuous on `[a, b]` with `a < b`. Then:
if `f a < y < f b`, there exists `c ∈ (a, b)` with `f c = y`;
if `f b < y < f a`, there exists `c ∈ (a, b)` with `f c = y`.

In either case, `f` attains every value strictly between `f a` and `f b` at some
interior point of the interval."
