index,category,lean_name,book_name,kind,location,official_lean_declaration,source_file,plain_english_statement_len,plain_english_proof_len,statement_excerpt,comment_excerpt
6,statement_but_no_proof,corollary_1_7_linear_combination_tail,Corollary 1.7,corollary,Section 1.2,corollary_1_7_linear_combination_tail,,1058,0,"**Corollary 1.7.** Let \(X_1, \ldots, X_n\) be \(n\) independent random variables such that \(X_i \sim \operatorname{subG}(\sigma^2)\). Then for any \(a \in \mathbb{R}^n\), we have  \[ \mathbb{P}\left(\sum_{i=1}^n a_i X_i > t \right) \leq \",*Corollary 1.7 (two-sided form).** Combined upper- and lower-tail bounds for `∑ aᵢXᵢ` when the `Xᵢ` are independent sub-Gaussian variables with proxy `σ²`.
8,statement_but_no_proof,theorem_1_9_sample_mean,Theorem 1.9 (Hoeffding's inequality),theorem,Section 1.2,theorem_1_9_sample_mean,,2621,0,"**Theorem 1.9 (Hoeffding’s inequality).** Let \(X_1, \ldots, X_n\) be \(n\) independent random variables such that almost surely, \[ X_i \in [a_i, b_i], \quad \forall i. \]  Let \(\bar{X} = \frac{1}{n} \sum_{i=1}^n X_i\). Then for any \(t>0","*Theorem 1.9 (Hoeffding's inequality for the sample mean).** Combined two-sided tail bound: for independent `X_i ∈ [a_i, b_i]`, `max(P(X̄ - E X̄ > t), P(X̄ - E X̄ < -t)) ≤ exp(-2 n² t² / ∑ (b_i - a_i)²)`."
14,statement_but_no_proof,SubGaussianPolytope.theorem_1_16,Theorem 1.16,theorem,Section 1.4,SubGaussianPolytope.theorem_1_16,,2330,0,"**Theorem 1.16.** Let \( P \) be a polytope with \( N \) vertices \( v^{(1)}, \ldots, v^{(N)} \in \mathbb{R}^d \), and let \( X \in \mathbb{R}^d \) be a random vector such that the random variables \(\langle v^{(i)}, X \rangle\), \( i = 1,\","Theorem 1.16 (combined): for a polytope with vertex set `S` whose vertex processes are `σ²`-sub-Gaussian, both the sup and the absolute-value sup of `g ω ·` over `conv(S)` satisfy logarithmic expectation bounds and Gaussian tail bounds."
22,statement_but_no_proof,cor_2_8_mse_prob,Corollary 2.8,corollary,"Chapter 2, Section 2.2",cor_2_8_mse_prob,,776,0,"**Corollary 2.8.** Under the assumptions of Theorem 2.6, for any \(\delta > 0\), with probability at least \(1 - \delta\), it holds that  \[ \text{MSE}(X \hat{\theta}^{\text{ls}}_{B_0(k)}) \leq \frac{\sigma^2 k}{n} \left( \log \frac{e d}{2 ","*Corollary 2.8**: High-probability MSE bound for sparse least-squares estimators under sub-Gaussian noise; with probability at least `1 - δ`, the in-sample MSE is controlled by a sparsity-times-log-dimension term."
46,statement_but_no_proof,Cor49.corollary_4_9,Corollary 4.9,corollary,Section 4.4,Cor49.corollary_4_9,,2554,0,"Corollary 4.9. Let \(X_1, \ldots, X_n\) be \(n\) i.i.d. copies of a sub-Gaussian random vector \(X \in \mathbb{R}^d\) such that \(\mathbb{E} X X^\top = \Sigma\) and \(X \sim \operatorname{subG}_d(k \Sigma_{\text{op}})\). Assume further that","*Corollary 4.9 (PCA under spiked covariance).** There is a universal constant `C > 0` such that for all `n` i.i.d. sub-Gaussian samples `X₁, …, Xₙ` from a spiked covariance model `Σ = θ v v^⊤ + I_d` with `X ~ subG_d(‖Σ‖_op)`, the top eigenv"
55,statement_but_no_proof,GaussianSequenceModel.minimax_rate,Corollary 5.13,corollary,Section 5.5,GaussianSequenceModel.minimax_rate,,1169,0,"Corollary 5.13. The minimax rate of estimation over \(\mathbb{R}^d\) in the Gaussian sequence model is \(\varphi(\mathbb{R}^d) = \frac{\sigma^2 d}{n}\). Moreover, it is attained by the least squares estimator \(\hat{\theta}_{\mathrm{ls}} = ","*Corollary 5.13** (minimax rate over `ℝ^d`): the minimax rate of estimation in the Gaussian sequence model on `ℝ^d` is `φ(ℝ^d) = σ² d / n`, matched up to constants by a Fano lower bound and attained exactly by the least squares (identity) e"
57,statement_but_no_proof,Cor_5_15.cor_5_15,Corollary 5.15,corollary,Chapter 5,Cor_5_15.cor_5_15,,1511,0,**Corollary 5.15.** Recall that \( B_0(k) \subset \mathbb{R}^d \) denotes the set of all \(k\)-sparse vectors in \(\mathbb{R}^d\). The minimax rate of estimation over \(B_0(k)\) in the Gaussian sequence model is \[ \varphi(B_0(k)) = \sigma^,"*Corollary 5.15** (`k`-sparse minimax rate): for the `k`-sparse `ℓ⁰`-ball `B₀(k) ⊂ ℝ^d`, the minimax rate of estimation in the Gaussian sequence model is `φ(B₀(k)) = σ² k log(e d / k) / n`, attained (up to constants) by the constrained leas"
1,both_statement_and_proof,GaussianTailBound.gaussian_tail_bound,Proposition 1.1,proposition,"Chapter 1, Section 1.1",GaussianTailBound.gaussian_tail_bound,,457,1779,"**Proposition 1.1.** Let \(X\) be a Gaussian random variable with mean \(\mu\) and variance \(\sigma^2\). Then, for any \(t>0\), it holds that  \[ \mathbb{P}(X-\mu>t) \leq \frac{\sigma}{\sqrt{2\pi}\,t} e^{-\frac{t^2}{2\sigma^2}}. \]  By sym","Public packaging of Proposition 1.1: upper, lower and two-sided Mills-type tail bounds for any Gaussian `N(μ, σ²)`."
2,both_statement_and_proof,SubGaussian.subGaussian_tail_bounds,Lemma 1.3,lemma,Section 1.2,SubGaussian.subGaussian_tail_bounds,,252,1553,"**Lemma 1.3.** Let \( X \sim \text{subG}(\sigma^2) \). Then for any \( t > 0 \), it holds that \[ \mathbb{P}[X > t] \leq \exp\left(-\frac{t^2}{2\sigma^2}\right), \quad \text{and} \quad \mathbb{P}[X < -t] \leq \exp\left(-\frac{t^2}{2\sigma^2","Combined two-sided tail bounds of Lemma 1.3: for `X ~ subG(σ²)` and any `t > 0`, both `P(X > t)` and `P(X < -t)` are at most `exp(-t² / (2σ²))`."
3,both_statement_and_proof,SubGaussianMoments.subgaussian_moment_bounds,Lemma 1.4,lemma,Section 1.2,SubGaussianMoments.subgaussian_moment_bounds,,427,1079,"**Lemma 1.4.** Let \(X\) be a random variable such that \[ \mathbb{P}(|X| > t) \leq 2 \exp\left(-\frac{t^{2}}{2 \sigma^{2}}\right). \] Then for any positive integer \(k \geq 1\), \[ \mathbb{E}[|X|^{k}] \leq (2 \sigma^{2})^{k/2} \, k \, \Gam",Combined statement of Lemma 1.4: the kth-root moment bound for `k ≥ 2` together with the first absolute moment bound.
4,both_statement_and_proof,lemma_1_5_mgf_bound_from_tails,Lemma 1.5,lemma,Section 1.2,lemma_1_5_mgf_bound_from_tails,,213,1034,"Lemma 1.5. If (1.3) holds, then for any \(s > 0\), it holds that \[ \mathbb{E}[\exp(sX)] \leq e^{4 \sigma^2 s^2}. \] As a result, we will sometimes write \(X \sim \mathrm{subG}(\sigma^2)\) when it satisfies (1.3).","One-sided MGF bound version of Lemma 1.5: under the sub-Gaussian tail bound `P[|X| > t] ≤ 2 exp(-t²/(2σ²))`, the MGF satisfies `E[exp(sX)] ≤ exp(4σ²s²)` for `s > 0`."
5,both_statement_and_proof,theorem_1_6_subgaussian_vector,Theorem 1.6,theorem,Section 1.2,theorem_1_6_subgaussian_vector,,225,361,"**Theorem 1.6.** Let \( X = (X_1, \ldots, X_n) \) be a vector of independent sub-Gaussian random variables that have variance proxy \(\sigma^2\). Then, the random vector \(X\) is sub-Gaussian with variance proxy \(\sigma^2\).","*Theorem 1.6 (Sub-Gaussianity of linear combinations).** Let `X₁, …, Xₙ` be independent sub-Gaussian random variables with the same variance proxy `σ²`. Then for any coefficients `a : Fin n → ℝ`, the random variable `∑ aᵢ Xᵢ` is sub-Gaussia"
7,both_statement_and_proof,lemma_1_8_hoeffding,Lemma 1.8 (Hoeffding's lemma (1963)),lemma,Section 1.2,lemma_1_8_hoeffding,,337,1042,"**Lemma 1.8 (Hoeffding’s lemma (1963)).** Let \(X\) be a random variable such that \(\mathbb{E}[X] = 0\) and \(X \in [a, b]\) almost surely. Then, for any \(s \in \mathbb{R}\), it holds that  \[ \mathbb{E}[e^{sX}] \leq e^{\frac{s^{2} (b - a","*Hoeffding's lemma (Lemma 1.8).** A centered random variable taking values in `[a,b]` a.s. is sub-Gaussian with variance proxy `(b-a)²/4`."
9,both_statement_and_proof,lemma_1_10,Lemma 1.10,lemma,Section 1.3,lemma_1_10,,459,2158,"**Lemma 1.10.** Let \(X\) be a centered random variable such that \(\mathbb{P}(|X| > t) \leq 2 e^{-2t/\lambda}\) for some \(\lambda > 0\). Then, for any positive integer \(k \geq 1\),  \[ \mathbb{E}[|X|^k] \leq \lambda^k k! \,. \]  Moreover",Lemma 1.10 (combined form). Assume `X` is centered and satisfies `P(|X| > t) ≤ 2 e^(-2t/λ)`. Then: 1. `E[|X|^k] ≤ λ^k · k!` for every `k ≥ 1`. 2. Any nonnegative `E ≤ λ^k · k!` satisfies `E^{1/k} ≤ 2 λ k`. 3. The MGF is bounded: for `|s| ≤ 
10,both_statement_and_proof,lemma_1_12_square_subgaussian_is_subexponential,Lemma 1.12,lemma,Section 1.3,lemma_1_12_square_subgaussian_is_subexponential,,171,1127,**Lemma 1.12.** Let \( X \sim \text{subG}(\sigma^2) \). Then the random variable \( Z = X^2 - \mathbb{E}[X^2] \) is sub-exponential: \( Z \sim \text{subE}(16 \sigma^2) \).,"*Lemma 1.12**: For `X ~ subG(σ²)`, the centred square `Z = X² - E[X²]` is sub-exponential with parameter `16σ²`, i.e. `Z ~ subE(16σ²)`."
11,both_statement_and_proof,theorem_1_13_bernstein_inequality,Theorem 1.13 (Bernstein's inequality),theorem,Section 1.3,theorem_1_13_bernstein_inequality,,423,660,"**Theorem 1.13 (Bernstein’s inequality).** Let \(X_1,\ldots,X_n\) be independent random variables such that \(\mathbb{E}(X_i)=0\) and \(X_i\sim \operatorname{subE}(\lambda)\). Define  \[ \overline{X}=\frac{1}{n}\sum_{i=1}^n X_i. \]  Then, f","*Theorem 1.13 (Bernstein's inequality).** For independent sub-exponential variables `X₁,…,Xₙ` with parameter `λ`, the maximum of the two centered sample-mean tail probabilities is bounded by `exp(-(n/2) min(t²/λ², t/λ))`."
12,both_statement_and_proof,subGaussian_maximal_inequality,Theorem 1.14,theorem,Section 1.4,subGaussian_maximal_inequality,,642,2860,"**Theorem 1.14.** Let \(X_1, \ldots, X_N\) be \(N\) random variables such that \(X_i \sim \text{subG}(\sigma^2)\). Then  \[ \mathbb{E} \left[ \max_{1 \leq i \leq N} X_i \right] \leq \sigma \sqrt{2 \log(N)}, \quad \text{and} \quad \mathbb{E}",Theorem 1.14 in combined form: the four maximal inequalities for a family of `N` sub-Gaussian variables — expectation and tail bounds for both the signed max and the max of absolute values.
13,both_statement_and_proof,lemma_1_15_sSup_eq,Lemma 1.15,lemma,Section 1.4,lemma_1_15_sSup_eq,,267,619,"**Lemma 1.15.** Consider a linear form \(x \mapsto c^\top x\), where \(x,c \in \mathbb{R}^d\). Then, for any convex polytope \(P \subset \mathbb{R}^d\),  \[ \max_{x \in P} c^\top x = \max_{x \in V(P)} c^\top x, \]  where \(V(P)\) denotes th",*Lemma 1.15 (supremum of a linear form over a polytope).** The supremum of a linear form `f` over the convex hull of a nonempty finite set `S` equals the maximum of `f` over the vertices `S`.
15,both_statement_and_proof,lemma_1_18_covering_number_euclidean_ball,Lemma 1.18,lemma,Section 1.4,lemma_1_18_covering_number_euclidean_ball,,202,1653,"**Lemma 1.18.** Fix \(\varepsilon \in (0,1)\). Then the unit Euclidean ball \(B_2\) has an \(\varepsilon\)-net \(N\) with respect to the Euclidean distance of cardinality \(|N| \leq (3/\varepsilon)^d\).","*Lemma 1.18 (Covering number of the unit Euclidean ball).** For `0 < ε < 1`, the closed unit ball `B₂` in `ℝ^d` admits an `ε`-net of cardinality at most `⌈(3/ε)^d⌉`."
16,both_statement_and_proof,theorem_1_19_high_prob,Theorem 1.19,theorem,Section 1.4,theorem_1_19_high_prob,,501,1271,**Theorem 1.19.** Let \(X \in \mathbb{R}^d\) be a sub-Gaussian random vector with variance proxy \(\sigma^2\). Then  \[ \mathbb{E}\left[\max_{\theta \in B_2} \theta^\top X\right] = \mathbb{E}\left[\max_{\theta \in B_2} |\theta^\top X|\right,"High-probability bound on `‖X‖` for a sub-Gaussian random vector: with probability at least `1 - δ`, `‖X‖ ≤ 4 σ √d + 2 σ √(2 log(1/δ))`."
17,both_statement_and_proof,LeastSquares.leastSquares_normalEquations_and_pseudoinverse,Proposition 2.1,proposition,"Chapter 2, Section 2.2",LeastSquares.leastSquares_normalEquations_and_pseudoinverse,,385,744,"**Proposition 2.1.** The least squares estimator \(\hat{\mu}_{\text{ls}} = X \hat{\theta}_{\text{ls}} \in \mathbb{R}^n\) satisfies \[ X^\top \hat{\mu}_{\text{ls}} = X^\top Y. \]  Moreover, \(\hat{\theta}_{\text{ls}}\) can be chosen to be \[","Proposition 2.1 (combined form): any least-squares minimizer satisfies the normal equations `Xᵀ X θ = Xᵀ Y`, and the pseudoinverse formula `θ̂^LS = (XᵀX)† Xᵀ Y` produces such a minimizer."
18,both_statement_and_proof,Rigollet.Chapter2.thm_2_2_ridge_risk_bound,Theorem 2.2,theorem,"Chapter 2, Section 2.2",Rigollet.Chapter2.thm_2_2_ridge_risk_bound,,547,2706,"**Theorem 2.2.** Assume that the linear model (2.2) holds where \(\varepsilon \sim \text{subG}(\sigma^2)\). Then the least squares estimator \(\hat{\theta}_{\text{ls}}\) satisfies  \[ \mathbb{E} \, \text{MSE}(X\hat{\theta}_{\text{ls}}) = \m",Theorem 2.2 (combined statement): the least squares estimator under sub-Gaussian noise enjoys both the expectation bound `E[MSE] ≲ σ² r/n` and the high-probability bound `MSE ≲ σ² (r + log(1/δ))/n` with probability `1 - δ`.
19,both_statement_and_proof,Rigollet.Chapter2.thm_2_4_l1_ball_mse,Theorem 2.4,theorem,"Chapter 2, Section 2.2",Rigollet.Chapter2.thm_2_4_l1_ball_mse,,792,380,"**Theorem 2.4.** Let \( K = B_1 \) be the unit \(\ell_1\) ball in \(\mathbb{R}^d\), with \( d \geq 2 \), and assume that \(\theta^* \in B_1\). Moreover, assume the conditions of Theorem 2.2 and that the columns of \(X\) are normalized such ","*Theorem 2.4** (Rigollet, High-Dimensional Statistics).  Combined MSE bound for the $\ell^1$-constrained least squares estimator over $B_1$. With column-normalised $X$ and $\theta^* \in B_1(R)$, $$\mathbb{E}\bigl[\operatorname{MSE}(X\hat\th"
20,both_statement_and_proof,thm_2_6_sparse_ls_high_prob,Theorem 2.6,theorem,"Chapter 2, Section 2.2",thm_2_6_sparse_ls_high_prob,,465,2921,"**Theorem 2.6.** Fix a positive integer \(k \leq \frac{d}{2}\). Let \(K = B_0(k)\) be the set of \(k\)-sparse vectors in \(\mathbb{R}^d\), and assume that \(\theta^* \in B_0(k)\). Moreover, assume the conditions of Theorem 2.2. Then, for an","*Theorem 2.6** (Rigollet, High-Dimensional Statistics).  Sparse least squares MSE bound: for $k$-sparse $\theta^*$ and the least squares estimator $\hat\theta^{LS}_{B_0(k)}$ constrained to $k$-sparse vectors, with probability at least $1 - "
21,both_statement_and_proof,lemma_2_7,Lemma 2.7,lemma,"Chapter 2, Section 2.2",lemma_2_7,,128,688,"**Lemma 2.7.** For any integers \(1 \leq k \leq n\), it holds that \[ \binom{n}{k} \leq \left( \frac{e \cdot n}{k} \right)^k. \]","*Lemma 2.7**: For `1 ≤ k ≤ n`, `binom(n, k) ≤ (e · n / k)^k`."
